Q_Id,Item,starke.Ablehnung,Ablehnung,neutral,Zustimmung ,starke.Zustimmung,Factor,Reverse,questions
1,1. Der Besuch einer Kunstausstellung würde mich ziemlich langweilen.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Offenheit für Erfahrungen,R,qn1
2,2. Ich putze mein Büro oder zuhause ziemlich oft.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Gewissenhaftigkeit,N,qn2
3,"3. Ich habe selten Wut im Bauch, nicht mal gegen Leute, die mich sehr ungerecht behandelt haben.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Verträglichkeit,N,qn3
4,4. Im Allgemeinen bin ich mit mir ziemlich zufrieden.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Extraversion,N,qn4
5,"5. Ich hätte Angst, wenn ich bei schlechten Wetterbedingungen verreisen müsste.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Emotionalität,N,qn5
6,"6. Wenn ich von einer Person, die ich nicht mag, etwas will, verhalte ich mich dieser Person gegenüber sehr nett um es zu bekommen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Ehrlichkeit - Demut,R,qn6
7,"7. Ich bin daran interessiert, etwas über die Geschichte und Politik anderer Länder zu lernen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Offenheit für Erfahrungen,N,qn7
8,"8. Wenn ich arbeite, setze ich mir oft ehrgeizige Ziele.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Gewissenhaftigkeit,N,qn8
9,"9. Andere sagen mir manchmal, dass ich zu kritisch gegenüber anderen bin.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Verträglichkeit,R,qn9
10,10. Bei Gruppentreffen sage ich nur selten meine Meinung.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Extraversion,R,qn10
11,"11. Ich kann manchmal nichts dagegen machen, dass ich mir über kleine Dinge Sorgen mache.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Emotionalität,N,qn11
12,"12. Wenn ich wüsste, dass ich niemals erwischt werde, wäre ich bereit, eine Million zu stehlen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Ehrlichkeit - Demut,R,qn12
13,"13. Ich wünsche mir einen Beruf, der Routine verlangt, anstatt einen, der Kreativität fordert.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Offenheit für Erfahrungen,R,qn13
14,"14. Oft kontrolliere ich meine Arbeit mehrfach, um alle Fehler zu finden.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Gewissenhaftigkeit,N,qn14
15,"15. Andere sagen mir manchmal, dass ich zu dickköpfig bin.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Verträglichkeit,R,qn15
16,"16. Ich vermeide es, mit anderen Leuten Small Talk zu halten.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Extraversion,R,qn16
17,"17. Wenn ich wegen einer schmerz vollen Erfahrung leide, brauche ich jemanden, der mich tröstet.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Emotionalität,N,qn17
18,18. Viel Geld zu haben ist nicht besonders wichtig für mich.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Ehrlichkeit - Demut,N,qn18
19,"19. Ich denke, dass es Zeitverschwendung ist, radikalen Ideen Aufmerksamkeit zu schenken.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Offenheit für Erfahrungen,R,qn19
20,20. Ich treffe Entscheidungen eher aus dem Bauch heraus als durch sorgfältiges Nachdenken.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Gewissenhaftigkeit,R,qn20
21,21. Andere halten mich für jähzornig.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Verträglichkeit,R,qn21
22,22. Ich bin fast immer voller Energie.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Extraversion,N,qn22
23,"23. Ich könnte weinen, wenn ich andere Personen sehe, die weinen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Emotionalität,N,qn23
24,"24. Ich bin eine ganz normale Person, die nicht besser ist als andere.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Ehrlichkeit - Demut,N,qn24
25,"25. Ich würde meine Zeit nicht damit verbringen, einen Gedichtband zu lesen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Offenheit für Erfahrungen,R,qn25
26,"26. Ich plane im Voraus und organisiere, damit in letzter Minute kein Zeitdruck aufkommt.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Gewissenhaftigkeit,N,qn26
27,"27. Meine Einstellung gegenüber Personen, die mich schlecht behandelt haben, ist ""vergeben und vergessen"".    ",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Verträglichkeit,N,qn27
28,"28. Ich glaube, dass die meisten Menschen einige Aspekte meines Charakters mögen.   ",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Extraversion,N,qn28
29,"29. Es stört mich nicht, Arbeiten zu erledigen, die gefährlich sind.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Emotionalität,R,qn29
30,"30. Ich würde keine Schmeicheleien benutzen, um eine Gehaltserhöhung zu bekommen oder befördert zu werden, auch wenn ich wüsste, dass es erfolgreich wäre.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Ehrlichkeit - Demut,N,qn30
31,"31. Ich mag es, Landkarten von anderen Orten zu betrachten.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Offenheit für Erfahrungen,N,qn31
32,"32. Ich treibe mich oft selbst sehr stark an, wenn ich versuche, ein Ziel zu erreichen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Gewissenhaftigkeit,N,qn32
33,"33. Ich akzeptiere im Allgemeinen die Schwächen anderer, ohne mich darüber zu beschweren.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Verträglichkeit,N,qn33
34,"34. In sozialen Situationen bin ich gewöhnlich der, der den ersten Schritt macht.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Extraversion,N,qn34
35,35. Ich mache mir viel weniger Sorgen als die meisten Leute.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Emotionalität,R,qn35
36,"36. Ich würde in Versuchung geraten, Diebesgut zu kaufen, wenn ich knapp bei Kasse wäre.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Ehrlichkeit - Demut,R,qn36
37,"37. Ich würde es genießen, ein Kunstwerk zu schaffen, etwa einen Roman, ein Lied oder ein Gemälde.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Offenheit für Erfahrungen,N,qn37
38,"38. Wenn ich an irgendetwas arbeite, beachte ich kleine Details nicht allzu sehr.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Gewissenhaftigkeit,R,qn38
39,"39. Ich bin gewöhnlich ziemlich flexibel in meinen Ansichten, wenn andere Leute mir nicht zustimmen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Verträglichkeit,N,qn39
40,"40. Ich genieße es, viele Leute um mich herum zu haben, mit denen ich reden kann.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Extraversion,N,qn40
41,"41. Ich kann mit schwierigen Situationen umgehen, ohne dass ich emotionale Unterstützung von irgendjemandem brauche.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Emotionalität,R,qn41
42,"42. Ich würde gerne in einer sehr teuren, angesehenen Nachbarschaft wohnen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Ehrlichkeit - Demut,R,qn42
43,"43. Ich mag Leute, die unkonventionelle Ideen haben.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Offenheit für Erfahrungen,N,qn43
44,"44. Ich mache viele Fehler, weil ich nicht nachdenke, bevor ich handele.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Gewissenhaftigkeit,R,qn44
45,"45. Ich werde selten wütend, selbst wenn andere mich ziemlich schlecht behandeln.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Verträglichkeit,N,qn45
46,46. An den meisten Tagen bin ich fröhlich und optimistisch.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Extraversion,N,qn46
47,"47. Wenn jemand, den ich gut kenne, unglücklich ist, kann ich den Schmerz dieser Person fast selber spüren.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Emotionalität,N,qn47
48,"48. Ich will nicht, dass andere Leute mich behandeln, als ob ich ihnen überlegen sei.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Ehrlichkeit - Demut,N,qn48
49,"49. Wenn ich die Gelegenheit dazu hätte, würde ich gerne ein Konzert mit klassischer Musik besuchen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Offenheit für Erfahrungen,N,qn49
50,50. Andere machen oft mit mir zusammen Witze über die Unordentlichkeit meines Zimmers oder Schreibtisches.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Gewissenhaftigkeit,R,qn50
51,"51. Wenn mich jemand einmal betrogen hat, werde ich dieser Person gegenüber immer misstrauisch bleiben.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Verträglichkeit,R,qn51
52,"52. Ich bin der Meinung, dass ich nicht beliebt bin.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Extraversion,R,qn52
53,"53. Wenn es um körperliche Gefahren geht, bin ich sehr ängstlich.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Emotionalität,N,qn53
54,"54. Wenn ich von jemandem etwas will, lache ich auch noch über dessen schlechteste Witze.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Ehrlichkeit - Demut,R,qn54
55,55. Ich wäre von einem Buch über die Geschichte der Wissenschaft und Technik sehr gelangweilt.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Offenheit für Erfahrungen,R,qn55
56,"56. Wenn ich mir ein Ziel setze, gebe ich oft auf, bevor ich es erreicht habe.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Gewissenhaftigkeit,R,qn56
57,"57. Ich neige dazu, nachsichtig zu sein, wenn ich andere beurteile.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Verträglichkeit,N,qn57
58,"58. Wenn ich in einer Gruppe von Leuten bin, bin ich oft derjenige, der im Namen der Gruppe spricht.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Extraversion,N,qn58
59,"59. Ich habe selten, wenn überhaupt, Schlafprobleme durch Stress oder Angst.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Emotionalität,R,qn59
60,"60. Ich würde niemals Bestechungsgeld annehmen, auch wenn es sehr viel wäre.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Ehrlichkeit - Demut,N,qn60
61,"61. Man hat mir schon oft gesagt, dass ich eine gute Vorstellungskraft habe.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Offenheit für Erfahrungen,N,qn61
62,"62. Ich versuche immer, fehlerfrei zu arbeiten, auch wenn es Zeit kostet.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Gewissenhaftigkeit,N,qn62
63,"63. Wenn mir andere sagen, dass ich falsch liege, ist meine erste Reaktion, mit ihnen zu streiten.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Verträglichkeit,R,qn63
64,"64. Ich ziehe Berufe, in denen man sich aktiv mit anderen Menschen auseinandersetzt solchen vor, in denen man alleine arbeitet. ",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Extraversion,N,qn64
65,"65. Wenn ich mir um irgendetwas Sorgen mache, will ich meine Sorgen mit einer anderen Person teilen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Emotionalität,N,qn65
66,"66. Ich würde gerne dabei gesehen werden, wie ich in einem sehr teuren Auto herumfahre.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Ehrlichkeit - Demut,R,qn66
67,67. Ich halte mich selber für eine etwas exzentrische Person.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Offenheit für Erfahrungen,N,qn67
68,"68. Ich lasse nicht zu, dass meine Impulse mein Verhalten dominieren.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Gewissenhaftigkeit,N,qn68
69,69. Die meisten Leute werden schneller ärgerlich als ich.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Verträglichkeit,N,qn69
70,"70. Andere sagen mir oft, dass ich versuchen sollte, etwas fröhlicher zu sein.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Extraversion,R,qn70
71,"71. Ich fühle starke Emotionen, wenn jemand, der mir nahe steht, für eine längere Zeit weggeht.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Emotionalität,N,qn71
72,"72. Ich denke, dass ich mehr Respekt verdiene als ein durchschnittlicher Mensch.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Ehrlichkeit - Demut,R,qn72
73,"73. Manchmal mag ich es, einfach nur dem Wind zuzusehen, wie er durch die Bäume bläst.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Offenheit für Erfahrungen,N,qn73
74,"74. Wenn ich arbeite, habe ich manchmal Schwierigkeiten, weil ich unorganisiert bin.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Gewissenhaftigkeit,R,qn74
75,"75. Es fällt mir schwer, jemandem vollkommen zu vergeben, der mir etwas Gemeines angetan hat.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Verträglichkeit,R,qn75
76,"76. Manchmal habe ich den Eindruck, dass ich wertlos bin.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Extraversion,R,qn76
77,77. Selbst in einem Notfall würde ich nicht in Panik geraten.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Emotionalität,R,qn77
78,"78. Ich würde nicht vortäuschen, jemanden zu mögen, nur um diese Person dazu zu bringen, mir Gefälligkeiten zu erweisen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Ehrlichkeit - Demut,N,qn78
79,"79. Ich habe es noch nie wirklich gemocht, eine Enzyklopädie durchzublättern.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Offenheit für Erfahrungen,R,qn79
80,"80. Ich arbeite nur so viel wie nötig, um gerade so durchzukommen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Gewissenhaftigkeit,R,qn80
81,"81. Selbst wenn Leute viele Fehler machen, sage ich nur selten etwas Negatives.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Verträglichkeit,N,qn81
82,82. Ich fühle mich nicht ganz behaglich wenn ich vor einer Gruppe von Leuten spreche.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Extraversion,R,qn82
83,"83. Ich werde sehr unruhig, wenn ich auf eine wichtige Entscheidung warte.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Emotionalität,N,qn83
84,"84. Ich würde in die Versuchung geraten, Falschgeld zu benutzen, wenn ich sicher sein könnte, damit durchzukommen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Ehrlichkeit - Demut,R,qn84
85,85. Ich halte mich nicht für einen künstlerischen oder kreativen Menschen.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Offenheit für Erfahrungen,R,qn85
86,86. Andere nennen mich oft einen Perfektionisten.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Gewissenhaftigkeit,N,qn86
87,"87. Es fällt mir schwer, mit anderen einen Kompromiss einzugehen, wenn ich überzeugt bin, dass ich Recht habe.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Verträglichkeit,R,qn87
88,"88. Das erste, was ich an einem neuen Ort tue, ist, Freundschaften zu schließen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Extraversion,N,qn88
89,89. Ich diskutiere selten meine Probleme mit anderen Leuten.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Emotionalität,R,qn89
90,"90. Es würde mir viel Freude bereiten, teure Luxusgüter zu besitzen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Ehrlichkeit - Demut,R,qn90
91,"91. Ich finde es langweilig, über Philosophie zu diskutieren.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Offenheit für Erfahrungen,R,qn91
92,"92. Ich ziehe es vor, das zu tun, was mir gerade in den Sinn kommt, anstatt an einem Plan festzuhalten.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Gewissenhaftigkeit,R,qn92
93,"93. Es fällt mir schwer, mich zu beherrschen, wenn Leute mich beleidigen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Verträglichkeit,R,qn93
94,94. Die meisten Leute sind aufgedrehter und dynamischer als ich es im Allgemeinen bin.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Extraversion,R,qn94
95,"95. Ich bleibe emotionslos, selbst in Situationen, in denen die meisten Leute sehr sentimental werden.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Emotionalität,R,qn95
96,"96. Ich will, dass alle wissen, dass ich eine wichtige angesehene Person bin.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Ehrlichkeit - Demut,R,qn96
97,"97. Ich habe Mitgefühl mit Menschen, die weniger Glück haben als ich.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Altruism,N,qn97
98,"98. Ich versuche, Notleidende großzügig zu unterstützen.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Altruism,N,qn98
99,"99. Es würde mich nicht stören, jemandem zu schaden, den ich nicht mag.",starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Altruism,R,qn99
100,100. Man hält mich für einen hartherzigen Menschen.,starke Ablehnung,Ablehnung,neutral,Zustimmung ,starke Zustimmung,Altruism,R,qn100